
test bypass  ,  select =  000  ,  SO = 0  ,  UO = 0  ,  a[3:0] --> Y[3:0]

   a    |   b     |  Y     S_O  U_O
 1011   | 0011    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 0100    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 0101    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 0110    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 0111    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1000    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1001    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1010    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1011    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1100    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1101    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1110    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
 1011   | 1111    | 1100    0    0  ~~~~   -5 + 1 =  -4   <*>    11 + 1 =  12
-----------------------------------
 1100   | 0000    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0001    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0010    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0011    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0100    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0101    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0110    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 0111    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1000    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1001    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1010    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1011    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1100    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1101    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1110    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
 1100   | 1111    | 1101    0    0  ~~~~   -4 + 1 =  -3   <*>    12 + 1 =  13
-----------------------------------
 1101   | 0000    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0001    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0010    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0011    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0100    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0101    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0110    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 0111    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1000    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1001    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1010    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1011    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1100    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1101    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1110    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
 1101   | 1111    | 1110    0    0  ~~~~   -3 + 1 =  -2   <*>    13 + 1 =  14
-----------------------------------
 1110   | 0000    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0001    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0010    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0011    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0100    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0101    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0110    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 0111    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1000    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1001    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1010    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1011    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1100    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1101    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1110    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
 1110   | 1111    | 1111    0    0  ~~~~   -2 + 1 =  -1   <*>    14 + 1 =  15
-----------------------------------
 1111   | 0000    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0001    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0010    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0011    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0100    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0101    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0110    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 0111    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1000    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1001    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1010    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1011    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1100    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1101    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1110    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
 1111   | 1111    | 0000    0    1  ~~~~   -1 + 1 =   0   <*>    15 + 1 =  16
-----------------------------------


************************************************************************************
************************************************************************************


test decrement  ,  select =  111  ,  a[3:0] - 1 --> Y[3:0]

   a    |   b     |  Y     S_O  U_O
-----------------------------------
 0000   | 0000    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0001    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0010    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0011    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0100    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0101    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0110    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 0111    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1000    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1001    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1010    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1011    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1100    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1101    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1110    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
 0000   | 1111    | 1111    0    0  ~~~~    0 - 1 =  -1   <*>     0 - 1 =  -1
-----------------------------------
 0001   | 0000    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0001    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0010    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0011    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0100    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0101    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0110    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 0111    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1000    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1001    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1010    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1011    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1100    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1101    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1110    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
 0001   | 1111    | 0000    0    0  ~~~~    1 - 1 =   0   <*>     1 - 1 =   0
-----------------------------------
 0010   | 0000    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0001    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0010    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0011    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0100    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0101    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0110    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 0111    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1000    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1001    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1010    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1011    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1100    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1101    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1110    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
 0010   | 1111    | 0001    0    0  ~~~~    2 - 1 =   1   <*>     2 - 1 =   1
-----------------------------------
 0011   | 0000    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0001    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0010    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0011    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0100    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0101    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0110    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 0111    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1000    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1001    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1010    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1011    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1100    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1101    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1110    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
 0011   | 1111    | 0010    0    0  ~~~~    3 - 1 =   2   <*>     3 - 1 =   2
-----------------------------------
 0100   | 0000    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0001    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0010    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0011    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0100    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0101    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0110    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 0111    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1000    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1001    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1010    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1011    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1100    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1101    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1110    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
 0100   | 1111    | 0011    0    0  ~~~~    4 - 1 =   3   <*>     4 - 1 =   3
-----------------------------------
 0101   | 0000    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0001    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0010    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0011    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0100    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0101    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0110    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 0111    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1000    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1001    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1010    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1011    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1100    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1101    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1110    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
 0101   | 1111    | 0100    0    0  ~~~~    5 - 1 =   4   <*>     5 - 1 =   4
-----------------------------------
 0110   | 0000    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0001    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0010    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0011    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0100    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0101    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0110    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 0111    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1000    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1001    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1010    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1011    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1100    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1101    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1110    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
 0110   | 1111    | 0101    0    0  ~~~~    6 - 1 =   5   <*>     6 - 1 =   5
-----------------------------------
 0111   | 0000    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0001    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0010    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0011    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0100    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0101    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0110    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 0111    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1000    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1001    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1010    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1011    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1100    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1101    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1110    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
 0111   | 1111    | 0110    0    0  ~~~~    7 - 1 =   6   <*>     7 - 1 =   6
-----------------------------------
 1000   | 0000    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0001    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0010    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0011    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0100    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0101    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0110    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 0111    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1000    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1001    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1010    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1011    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1100    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1101    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1110    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
 1000   | 1111    | 0111    1    0  ~~~~   -8 - 1 =  -9   <*>     8 - 1 =   7
-----------------------------------
 1001   | 0000    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0001    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0010    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0011    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0100    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0101    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0110    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 0111    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1000    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1001    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1010    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1011    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1100    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1101    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1110    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
 1001   | 1111    | 1000    0    0  ~~~~   -7 - 1 =  -8   <*>     9 - 1 =   8
-----------------------------------
 1010   | 0000    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0001    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0010    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0011    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0100    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0101    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0110    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 0111    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1000    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1001    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1010    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1011    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1100    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1101    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1110    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
 1010   | 1111    | 1001    0    0  ~~~~   -6 - 1 =  -7   <*>    10 - 1 =   9
-----------------------------------
 1011   | 0000    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0001    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0010    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0011    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0100    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0101    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0110    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 0111    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1000    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1001    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1010    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1011    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1100    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1101    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1110    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
 1011   | 1111    | 1010    0    0  ~~~~   -5 - 1 =  -6   <*>    11 - 1 =  10
-----------------------------------
 1100   | 0000    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0001    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0010    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0011    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0100    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0101    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0110    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 0111    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
 1100   | 1000    | 1011    0    0  ~~~~   -4 - 1 =  -5   <*>    12 - 1 =  11
